CASH,PARTS_SUPPLIES_NET,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION
-157.58,5502.85,316780.10,143015.07,359436.05,ABX,ABX Air Inc,D
-157.58,5502.85,316780.10,143015.07,359436.05,ABX,ABX Air Inc,D
-126.76,0.00,386698.72,29449.34,429751.83,U7,USA Jet Airlines Inc.,D
0.00,0.00,85374.57,0.00,110947.69,27Q,"Jet Aviation Flight Services, Inc.",D
0.00,0.00,64738.58,0.00,92607.72,27Q,"Jet Aviation Flight Services, Inc.",D
0.00,3152.90,29380.00,9879.40,38266.59,G7,GoJet Airlines LLC d/b/a United Express,D
0.00,3164.85,39935.17,9939.40,48896.61,G7,GoJet Airlines LLC d/b/a United Express,D
1.79,0.00,12598.69,1493120.08,1477394.27,YV,Mesa Airlines Inc.,D
2.46,0.00,10530.39,1483635.24,1495943.28,YV,Mesa Airlines Inc.,D
4.62,9107.68,24229.93,117810.03,97999.11,8C,Air Transport International,D
5.24,10869.02,71474.48,123023.19,156798.65,8C,Air Transport International,D
16.00,9139.00,312729.00,915759.00,1125026.00,QX,Horizon Air,D
19.00,10319.00,313032.00,916137.00,1124640.00,QX,Horizon Air,D
75.97,0.00,83.47,7735.00,16655.83,1TQ,Rhoades Aviation dba Transair,D
112.59,5712.38,25974.17,262877.28,168687.21,L2,Lynden Air Cargo Airlines,D
113.06,4666.91,21188.40,263431.56,159774.91,L2,Lynden Air Cargo Airlines,D
122.55,0.00,130.05,7735.00,14190.22,1TQ,Rhoades Aviation dba Transair,D
181.44,332.42,507631.00,0.00,738083.69,X9,Omni Air International LLC,D
274.66,0.00,39225.70,37944.70,152540.60,NC,Northern Air Cargo Inc.,D
388.12,60044.81,148245.73,149273.00,333613.30,OH,PSA Airlines Inc.,D
559.95,0.00,332487.38,31779.62,379667.48,U7,USA Jet Airlines Inc.,D
616.06,27351.42,71468.83,151935.11,466242.66,MQ,Envoy Air,D
725.46,4729.36,161507.91,206715.25,281389.30,ZW,Air Wisconsin Airlines Corp,D
800.20,0.00,10569.74,12911.74,38035.58,KH,Aloha Air Cargo,D
1072.35,1306.21,-93320.68,126633.75,9207.22,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D
1130.70,22236.47,132306.48,38453.45,200084.56,PT,Piedmont Airlines,D
1142.18,5113.72,153115.29,205042.12,277624.41,ZW,Air Wisconsin Airlines Corp,D
1156.79,13950.22,33294.19,37611.71,55095.93,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,D
1334.04,0.00,59174.32,21713.38,216208.52,N8,National Air Cargo Group Inc d/ba National Airlines,D
1402.68,22789.03,66451.85,149383.00,465698.23,MQ,Envoy Air,D
1904.07,0.00,541279.82,3460.50,560352.64,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",D
1939.61,3926.30,40504.68,1566.90,45373.80,WI,Sky Lease Cargo,I
3005.83,5987.58,58429.80,6918.82,66439.84,C5,"Commutair Aka Champlain Enterprises, Inc.",D
3736.53,0.00,13963.87,2211.50,34230.58,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",D
3775.26,4575.11,23997.08,1566.90,27097.45,WI,Sky Lease Cargo,I
