AIRPORT_TYPE,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_ENP_FREIGHT_217,REV_ENP_MAIL_219
D,10136,ABI,"Abilene, TX",K,5.00,,
D,10257,ALB,"Albany, NY",K,156.00,0.00,0.00
D,10140,ABQ,"Albuquerque, NM",K,586.00,2.00,0.00
D,10279,AMA,"Amarillo, TX",K,57.00,0.00,0.00
D,10397,ATL,"Atlanta, GA",K,1915.00,66.00,32.00
D,10821,BWI,"Baltimore, MD",K,739.00,15.00,70.00
D,10781,BTR,"Baton Rouge, LA",K,1.00,,
D,10620,BIL,"Billings, MT",K,1.00,,
D,10599,BHM,"Birmingham, AL",K,169.00,0.00,0.00
D,10721,BOS,"Boston, MA",K,4959.00,602.00,222.00
D,10434,AVP,"Scranton/Wilkes-Barre, PA",K,157.00,0.00,0.00
D,10792,BUF,"Buffalo, NY",K,251.00,0.00,0.00
D,10800,BUR,"Burbank, CA",K,244.00,0.00,0.00
D,12323,ILM,"Wilmington, NC",K,62.00,1.00,0.00
D,10994,CHS,"Charleston, SC",K,448.00,3.00,0.00
D,11057,CLT,"Charlotte, NC",K,24294.00,4047.00,1764.00
D,15024,STT,"Charlotte Amalie, VI",K,586.00,4.00,0.00
D,13930,ORD,"Chicago, IL",K,12045.00,2492.00,1769.00
D,15027,STX,"Christiansted, VI",K,193.00,0.00,0.00
D,11193,CVG,"Cincinnati, OH",K,340.00,0.00,0.00
D,11042,CLE,"Cleveland, OH",K,715.00,10.00,0.00
D,11109,COS,"Colorado Springs, CO",K,173.00,0.00,0.00
D,10868,CAE,"Columbia, SC",K,2.00,,
D,11066,CMH,"Columbus, OH",K,625.00,10.00,22.00
D,11298,DFW,"Dallas/Fort Worth, TX",K,36163.00,17630.00,4668.00
D,11292,DEN,"Denver, CO",K,2159.00,16.00,148.00
D,11423,DSM,"Des Moines, IA",K,437.00,0.00,0.00
D,11433,DTW,"Detroit, MI",K,885.00,8.00,178.00
D,11503,EGE,"Eagle, CO",K,468.00,0.00,0.00
D,11540,ELP,"El Paso, TX",K,381.00,2.00,0.00
D,11697,FLL,"Fort Lauderdale, FL",K,1778.00,40.00,0.00
D,14635,RSW,"Fort Myers, FL",K,1592.00,9.00,0.00
D,11638,FAT,"Fresno, CA",K,222.00,0.00,0.00
D,11986,GRR,"Grand Rapids, MI",K,326.00,0.00,0.00
D,11995,GSO,"Greensboro/High Point, NC",K,78.00,0.00,0.00
D,12012,GUC,"Gunnison, CO",K,87.00,0.00,0.00
D,13230,MDT,"Harrisburg, PA",K,159.00,1.00,0.00
D,10529,BDL,"Hartford, CT",K,676.00,19.00,57.00
D,12173,HNL,"Honolulu, HI",K,631.00,1132.00,3.00
D,12266,IAH,"Houston, TX",K,1447.00,41.00,266.00
D,12339,IND,"Indianapolis, IN",K,994.00,8.00,79.00
D,14262,PSP,"Palm Springs, CA",K,464.00,0.00,0.00
D,12441,JAC,"Jackson, WY",K,206.00,0.00,0.00
D,12451,JAX,"Jacksonville, FL",K,921.00,6.00,46.00
D,13830,OGG,"Kahului, HI",K,447.00,39.00,0.00
D,13198,MCI,"Kansas City, MO",K,1014.00,7.00,191.00
D,12889,LAS,"Las Vegas, NV",K,3242.00,31.00,220.00
D,12892,LAX,"Los Angeles, CA",K,8171.00,11183.00,1478.00
D,14730,SDF,"Louisville, KY",K,47.00,0.00,0.00
D,13485,MSN,"Madison, WI",K,176.00,0.00,0.00
D,13244,MEM,"Memphis, TN",K,811.00,8.00,0.00
D,13303,MIA,"Miami, FL",K,24670.00,19173.00,1613.00
D,13342,MKE,"Milwaukee, WI",K,401.00,3.00,50.00
D,13487,MSP,"Minneapolis, MN",K,848.00,7.00,38.00
D,13256,MFE,"Mission/McAllen/Edinburg, TX",K,226.00,0.00,0.00
D,10693,BNA,"Nashville, TN",K,1749.00,12.00,0.00
D,13495,MSY,"New Orleans, LA",K,1501.00,5.00,13.00
D,12478,JFK,"New York, NY",K,5948.00,8981.00,457.00
D,12953,LGA,"New York, NY",K,5530.00,91.00,115.00
D,11618,EWR,"Newark, NJ",K,1644.00,52.00,226.00
D,13931,ORF,"Norfolk, VA",K,506.00,4.00,0.00
D,15919,XNA,"Fayetteville, AR",K,131.00,0.00,0.00
D,13851,OKC,"Oklahoma City, OK",K,558.00,0.00,0.00
D,13871,OMA,"Omaha, NE",K,266.00,2.00,29.00
D,13891,ONT,"Ontario, CA",K,611.00,10.00,202.00
D,13204,MCO,"Orlando, FL",K,4171.00,44.00,105.00
D,14100,PHL,"Philadelphia, PA",K,8416.00,2974.00,558.00
D,14107,PHX,"Phoenix, AZ",K,12519.00,287.00,1923.00
D,14122,PIT,"Pittsburgh, PA",K,1008.00,17.00,69.00
D,14057,PDX,"Portland, OR",K,507.00,34.00,23.00
D,14307,PVD,"Providence, RI",K,175.00,4.00,0.00
D,14492,RDU,"Raleigh/Durham, NC",K,2210.00,41.00,22.00
D,14570,RNO,"Reno, NV",K,457.00,0.00,0.00
D,14524,RIC,"Richmond, VA",K,609.00,5.00,32.00
D,14576,ROC,"Rochester, NY",K,110.00,1.00,0.00
D,14893,SMF,"Sacramento, CA",K,535.00,16.00,141.00
D,15016,STL,"St. Louis, MO",K,1769.00,11.00,202.00
D,14869,SLC,"Salt Lake City, UT",K,810.00,12.00,130.00
D,14683,SAT,"San Antonio, TX",K,1445.00,8.00,90.00
D,14679,SAN,"San Diego, CA",K,1747.00,43.00,51.00
D,14771,SFO,"San Francisco, CA",K,1994.00,280.00,251.00
D,14831,SJC,"San Jose, CA",K,427.00,5.00,0.00
D,14843,SJU,"San Juan, PR",K,1103.00,382.00,165.00
D,14908,SNA,"Santa Ana, CA",K,1439.00,3.00,1.00
D,14747,SEA,"Seattle, WA",K,1188.00,325.00,94.00
D,14814,SHV,"Shreveport, LA",K,1.00,,
D,12094,HDN,"Hayden, CO",K,113.00,0.00,0.00
D,13061,LRD,"Laredo, TX",K,1.00,,
D,15096,SYR,"Syracuse, NY",K,313.00,3.00,0.00
D,15304,TPA,"Tampa, FL",K,3185.00,34.00,154.00
D,15376,TUS,"Tucson, AZ",K,769.00,5.00,0.00
D,15370,TUL,"Tulsa, OK",K,465.00,20.00,0.00
D,12264,IAD,"Washington, DC",K,360.00,15.00,0.00
D,11278,DCA,"Washington, DC",K,5902.00,55.00,0.00
D,14027,PBI,"West Palm Beach/Palm Beach, FL",K,1216.00,11.00,0.00
D,12278,ICT,"Wichita, KS",K,227.00,0.00,0.00
D,14960,SPS,"Wichita Falls, TX",K,1.00,,
D,10423,AUS,"Austin, TX",K,4013.00,16.00,17.00
D,10194,AFW,"Dallas/Fort Worth, TX",K,3.00,,
D,11996,GSP,"Greer, SC",K,4.00,0.00,0.00
D,14986,SRQ,"Sarasota/Bradenton, FL",K,332.00,0.00,0.00
D,14685,SAV,"Savannah, GA",K,113.00,0.00,0.00
D,11884,GEG,"Spokane, WA",K,174.00,1.00,0.00
D,10581,BGR,"Bangor, ME",K,32.00,4.00,0.00
D,10713,BOI,"Boise, ID",K,4.00,,
D,15412,TYS,"Knoxville, TN",K,1.00,,
D,14321,PWM,"Portland, ME",K,168.00,0.00,0.00
D,11603,EUG,"Eugene, OR",K,88.00,0.00,0.00
D,11921,GJT,"Grand Junction, CO",K,2.00,,
D,12758,KOA,"Kona, HI",K,182.00,5.00,0.00
D,12982,LIH,"Lihue, HI",K,183.00,0.00,0.00
D,13502,MTJ,"Montrose/Delta, CO",K,132.00,0.00,0.00
D,14689,SBA,"Santa Barbara, CA",K,103.00,0.00,0.00
D,11252,DAB,"Daytona Beach, FL",K,8.00,0.00,0.00
D,13577,MYR,"Myrtle Beach, SC",K,105.00,0.00,0.00
D,14193,PNS,"Pensacola, FL",K,157.00,0.00,0.00
D,10849,BZN,"Bozeman, MT",K,135.00,0.00,0.00
D,13486,MSO,"Missoula, MT",K,4.00,0.00,0.00
D,11624,EYW,"Key West, FL",K,570.00,0.00,0.00
D,15624,VPS,"Valparaiso, FL",K,66.00,0.00,0.00
D,10821,BWI,"Baltimore, MD",V,1.00,0.00,0.00
D,11298,DFW,"Dallas/Fort Worth, TX",V,1.00,0.00,0.00
D,12892,LAX,"Los Angeles, CA",V,2.00,13.00,0.00
D,14100,PHL,"Philadelphia, PA",V,3.00,0.00,0.00
D,14843,SJU,"San Juan, PR",V,1.00,0.00,0.00
D,15304,TPA,"Tampa, FL",V,2.00,10.00,0.00
D,10257,ALB,"Albany, NY",K,86.00,0.00,0.00
D,10140,ABQ,"Albuquerque, NM",K,207.00,0.00,0.00
D,10279,AMA,"Amarillo, TX",K,1.00,0.00,0.00
D,10397,ATL,"Atlanta, GA",K,665.00,25.00,20.00
D,10821,BWI,"Baltimore, MD",K,560.00,6.00,122.00
D,10781,BTR,"Baton Rouge, LA",K,2.00,0.00,0.00
D,10620,BIL,"Billings, MT",K,178.00,4.00,0.00
D,10599,BHM,"Birmingham, AL",K,1.00,0.00,0.00
D,10721,BOS,"Boston, MA",K,2202.00,112.00,315.00
D,10792,BUF,"Buffalo, NY",K,153.00,2.00,0.00
D,10800,BUR,"Burbank, CA",K,1.00,0.00,0.00
D,10994,CHS,"Charleston, SC",K,167.00,0.00,0.00
D,11057,CLT,"Charlotte, NC",K,158.00,4.00,0.00
D,15024,STT,"Charlotte Amalie, VI",K,286.00,0.00,0.00
D,13930,ORD,"Chicago, IL",K,15438.00,12379.00,3396.00
D,11193,CVG,"Cincinnati, OH",K,176.00,2.00,0.00
D,11042,CLE,"Cleveland, OH",K,1876.00,24.00,142.00
D,11109,COS,"Colorado Springs, CO",K,260.00,0.00,0.00
D,11066,CMH,"Columbus, OH",K,184.00,1.00,60.00
D,11298,DFW,"Dallas/Fort Worth, TX",K,1347.00,34.00,501.00
D,12402,ITO,"Hilo, HI",K,49.00,0.00,0.00
D,11292,DEN,"Denver, CO",K,19554.00,3835.00,1674.00
D,11423,DSM,"Des Moines, IA",K,188.00,7.00,0.00
D,11433,DTW,"Detroit, MI",K,118.00,1.00,21.00
D,11503,EGE,"Eagle, CO",K,258.00,0.00,0.00
D,11540,ELP,"El Paso, TX",K,27.00,0.00,0.00
D,11697,FLL,"Fort Lauderdale, FL",K,2063.00,64.00,0.00
D,14635,RSW,"Fort Myers, FL",K,1919.00,8.00,0.00
D,11638,FAT,"Fresno, CA",K,49.00,0.00,0.00
D,11986,GRR,"Grand Rapids, MI",K,226.00,0.00,0.00
D,12003,GTF,"Great Falls, MT",K,1.00,0.00,0.00
D,13230,MDT,"Harrisburg, PA",K,48.00,0.00,0.00
D,10529,BDL,"Hartford, CT",K,439.00,1.00,133.00
D,12173,HNL,"Honolulu, HI",K,1342.00,4624.00,1053.00
D,12266,IAH,"Houston, TX",K,18133.00,9633.00,2550.00
D,12191,HOU,"Houston, TX",K,1.00,0.00,0.00
D,12339,IND,"Indianapolis, IN",K,342.00,3.00,78.00
D,14262,PSP,"Palm Springs, CA",K,345.00,0.00,0.00
D,12441,JAC,"Jackson, WY",K,440.00,0.00,0.00
D,12451,JAX,"Jacksonville, FL",K,316.00,1.00,0.00
D,13830,OGG,"Kahului, HI",K,745.00,11.00,0.00
D,13198,MCI,"Kansas City, MO",K,327.00,6.00,0.00
D,12889,LAS,"Las Vegas, NV",K,2728.00,23.00,50.00
D,10732,BQN,"Aguadilla, PR",K,88.00,0.00,0.00
D,12892,LAX,"Los Angeles, CA",K,6606.00,10791.00,1912.00
D,13485,MSN,"Madison, WI",K,269.00,0.00,0.00
D,13244,MEM,"Memphis, TN",K,128.00,1.00,0.00
D,13303,MIA,"Miami, FL",K,1563.00,66.00,410.00
D,13342,MKE,"Milwaukee, WI",K,6.00,0.00,0.00
D,13487,MSP,"Minneapolis, MN",K,830.00,6.00,41.00
D,13256,MFE,"Mission/McAllen/Edinburg, TX",K,155.00,1.00,0.00
D,10693,BNA,"Nashville, TN",K,500.00,2.00,29.00
D,15070,SWF,"Newburgh/Poughkeepsie, NY",K,1.00,0.00,0.00
D,13495,MSY,"New Orleans, LA",K,1303.00,8.00,40.00
D,12478,JFK,"New York, NY",K,345.00,10.00,45.00
D,12953,LGA,"New York, NY",K,1431.00,2.00,0.00
D,11618,EWR,"Newark, NJ",K,18688.00,20049.00,2219.00
D,13931,ORF,"Norfolk, VA",K,179.00,1.00,0.00
D,13851,OKC,"Oklahoma City, OK",K,16.00,0.00,0.00
D,13871,OMA,"Omaha, NE",K,335.00,5.00,30.00
D,13891,ONT,"Ontario, CA",K,219.00,0.00,0.00
D,13204,MCO,"Orlando, FL",K,3363.00,34.00,205.00
D,14100,PHL,"Philadelphia, PA",K,625.00,11.00,240.00
D,14107,PHX,"Phoenix, AZ",K,2228.00,50.00,323.00
D,14122,PIT,"Pittsburgh, PA",K,319.00,2.00,61.00
D,14057,PDX,"Portland, OR",K,1241.00,77.00,113.00
D,14307,PVD,"Providence, RI",K,2.00,0.00,0.00
D,14492,RDU,"Raleigh/Durham, NC",K,739.00,0.00,0.00
D,14570,RNO,"Reno, NV",K,315.00,1.00,0.00
D,14524,RIC,"Richmond, VA",K,219.00,0.00,0.00
D,14576,ROC,"Rochester, NY",K,108.00,0.00,0.00
D,14512,RFD,"Rockford, IL",K,4.00,0.00,0.00
D,14893,SMF,"Sacramento, CA",K,691.00,5.00,215.00
D,15016,STL,"St. Louis, MO",K,215.00,3.00,73.00
D,14489,RDM,"Bend/Redmond, OR",K,90.00,0.00,0.00
D,14869,SLC,"Salt Lake City, UT",K,678.00,9.00,1.00
D,14683,SAT,"San Antonio, TX",K,1063.00,6.00,137.00
D,14679,SAN,"San Diego, CA",K,1925.00,46.00,108.00
D,14771,SFO,"San Francisco, CA",K,10576.00,20841.00,2438.00
D,14831,SJC,"San Jose, CA",K,327.00,0.00,0.00
D,14843,SJU,"San Juan, PR",K,708.00,487.00,13.00
D,14908,SNA,"Santa Ana, CA",K,1491.00,0.00,0.00
D,14747,SEA,"Seattle, WA",K,1477.00,199.00,172.00
D,11775,FSD,"Sioux Falls, SD",K,58.00,0.00,0.00
D,12094,HDN,"Hayden, CO",K,369.00,0.00,0.00
D,15096,SYR,"Syracuse, NY",K,183.00,1.00,0.00
D,15304,TPA,"Tampa, FL",K,2275.00,16.00,256.00
D,15376,TUS,"Tucson, AZ",K,219.00,1.00,0.00
D,15370,TUL,"Tulsa, OK",K,97.00,0.00,0.00
D,12264,IAD,"Washington, DC",K,7967.00,6639.00,832.00
D,11278,DCA,"Washington, DC",K,727.00,0.00,0.00
D,14027,PBI,"West Palm Beach/Palm Beach, FL",K,884.00,9.00,0.00
D,12278,ICT,"Wichita, KS",K,75.00,0.00,0.00
