UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,CARRIER_GROUP,CLASS
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,G
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,L
02Q,Titan Airways,I,0,P
02Q,Titan Airways,I,0,P
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,F
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
04Q,Tradewind Aviation,D,1,L
